Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,CF MontrÃ©al,17,9,2,6,32,29,3,29,1.71,23.80,18.40,5.40,0.32,L W L W W,13904,Djordje Mihailovic - 7,Sebastian Breza,
2,NY Red Bulls,18,8,5,5,28,20,8,29,1.61,28.70,24.00,4.70,0.26,W L W L W,15296,Lewis Morgan - 8,Carlos Coronel,
3,Philadelphia,17,7,8,2,22,13,9,29,1.71,26.40,18.90,7.50,0.44,W D D W L,17621,DÃ¡niel Gazdag - 7,Andre Blake,
4,NYCFC,16,8,4,4,31,17,14,28,1.75,31.80,19.50,12.30,0.77,W W D L D,17653,ValentÃ­n Castellanos - 8,Sean Johnson,
5,Orlando City,17,7,4,6,20,23,-3,25,1.47,19.70,24.20,-4.50,-0.27,D L D W L,17353,Ercan Kara - 6,Pedro Gallese,
6,FC Cincinnati,17,7,3,7,27,30,-3,24,1.41,27.30,25.70,1.60,0.10,L L D W D,21343,Brandon Vazquez - 8,Roman Celentano,
7,New England,17,6,6,5,27,26,1,24,1.41,22.80,20.20,2.60,0.15,D W D W D,18413,Adam Buksa - 7,Matt Turner,
8,Inter Miami,16,6,3,7,17,25,-8,21,1.31,19.00,23.70,-4.60,-0.29,D W W L W,12562,Leonardo Campana - 7,Drake Callender,
9,Columbus Crew,16,5,6,5,20,18,2,21,1.31,21.90,19.50,2.50,0.16,L W D D W,18993,Lucas ZelarayÃ¡n - 4,Eloy Room,
10,Charlotte FC,18,6,2,10,17,22,-5,20,1.11,19.80,22.20,-2.30,-0.13,L W D L L,36404,Karol Åšwiderski - 4,Kristijan Kahlina,
11,Atlanta Utd,16,5,4,7,24,24,0,19,1.19,24.40,22.40,2.00,0.12,D L W L L,45776,"Ronaldo Cisneros, Josef MartÃ­nez... - 4",Brad Guzan,
12,Toronto FC,17,5,3,9,24,32,-8,18,1.06,18.70,35.10,-16.30,-0.96,D W L W L,23299,JesÃºs JimÃ©nez - 8,Alex Bono,
13,Chicago Fire,17,4,5,8,15,22,-7,17,1.00,21.30,22.20,-0.90,-0.05,L L W L W,16214,"Kacper PrzybyÅ‚ko, Xherdan Shaqiri - 3",Gabriel Slonina,
14,D.C. United,15,4,2,9,18,27,-9,14,0.93,18.10,20.90,-2.80,-0.19,L D L L L,16709,"Taxiarchis Fountas, Ola Kamara - 6",Bill Hamid,
