Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
vs Atlanta Utd,29,40.9,16,8183,1067,2886,3566,2208,377,7466,115,233,49.4,124,9,4974,25652,13618,499,162,61,194,165,5808,4926,84.8,444
vs Austin FC,24,44.9,17,8984,1155,3329,3912,2281,403,8163,120,217,55.3,137,14,5389,27040,14270,558,166,78,218,179,6387,5637,88.3,468
vs CF Montr̩al,24,47.5,17,9593,1082,3426,4574,2140,323,8861,99,191,51.8,109,10,6256,30069,14200,493,155,65,217,147,7106,6248,87.9,492
vs Charlotte FC,28,46,18,9905,1125,3418,4497,2628,424,9020,122,255,47.8,129,19,6050,32753,15901,625,184,83,236,187,7295,6178,84.7,552
vs Chicago Fire,23,50.4,17,9967,1305,3676,4424,2424,348,9106,140,265,52.8,161,19,6209,29657,15299,557,172,55,263,221,7073,6136,86.8,524
vs Colorado Rapids,25,51.9,16,9326,1174,3415,4412,2083,306,8566,116,230,50.4,128,13,6238,31701,17575,617,173,63,209,155,7042,6216,88.3,478
vs Columbus Crew,25,50.8,16,9701,1133,3524,4362,2413,362,9011,115,229,50.2,133,19,6335,33875,17872,640,190,60,191,175,7217,6385,88.5,513
vs D.C. United,29,52.8,15,8706,1019,3074,3998,2214,324,7940,133,226,58.8,142,19,5318,28376,14418,552,197,59,181,150,6331,5274,83.3,455
vs FC Cincinnati,26,54.8,17,10826,1222,3870,4628,3007,459,9962,160,279,57.3,172,16,6934,35025,18538,685,211,68,239,237,8052,7081,87.9,616
vs FC Dallas,22,49.8,17,10136,1106,3483,4447,2765,379,9343,122,251,48.6,130,18,6488,31846,15521,612,178,51,233,194,7443,6680,89.7,558
vs Houston Dynamo,23,52.1,17,10481,1006,3385,4679,3129,443,9733,148,245,60.4,158,12,7180,36828,20264,765,265,54,220,176,7970,7137,89.5,611
vs Inter Miami,27,54.1,16,10035,901,2983,4735,2938,455,9329,152,276,55.1,169,26,6645,32985,17895,681,200,61,222,202,7794,6841,87.8,691
vs LA Galaxy,21,43.9,16,8663,1196,3367,3670,2190,331,7960,130,233,55.8,139,13,5307,28437,14824,491,162,69,187,142,6239,5369,86.1,510
vs Los Angeles FC,25,45.6,17,9463,1282,3797,3947,2270,343,8646,164,310,52.9,179,27,5665,27181,14268,528,171,50,252,170,6581,5662,86,479
vs Minnesota Utd,22,53.8,17,10792,1106,3616,4739,3096,469,9970,117,246,47.6,130,13,6719,35149,19420,766,232,70,237,183,7911,7011,88.6,676
vs Nashville,21,54.4,17,10756,1023,3229,5236,3010,376,10022,111,229,48.5,127,22,7354,38323,20318,804,259,65,213,146,8334,7312,87.7,594
vs New England,27,44.9,17,9513,1228,3360,4108,2627,366,8764,118,248,47.6,128,20,5935,32052,17131,602,221,55,220,131,6921,5989,86.5,541
vs NY Red Bulls,23,55.8,18,11094,1465,4433,5026,2225,336,10139,223,410,54.4,244,33,6604,31466,15372,540,172,55,302,263,7912,6690,84.6,552
vs NYCFC,22,40.8,16,8340,1154,2925,3595,2271,341,7506,120,243,49.4,133,14,4757,21725,10608,389,137,44,227,190,5584,4714,84.4,448
vs Orlando City,24,50.7,17,9958,966,3235,4701,2730,380,9236,130,269,48.3,143,16,6555,34988,18536,711,234,62,210,171,7501,6584,87.8,621
vs Philadelphia,20,59.2,17,11076,1130,3638,5120,3072,410,10196,143,278,51.4,160,17,7095,37742,20188,812,283,63,229,247,8227,7168,87.1,676
vs Portland Timbers,26,51.1,18,10991,1126,3471,4795,3401,500,10116,145,278,52.2,166,11,7056,35427,19738,824,243,84,224,217,8035,7120,88.6,739
vs Real Salt Lake,28,55.9,17,10951,1174,4104,5005,2546,327,10202,139,253,54.9,149,15,7388,37468,20037,736,204,65,200,181,8199,7372,89.9,578
vs San Jose,24,39.8,16,7857,967,2977,3416,1946,370,7182,114,245,46.5,130,17,4646,24195,13223,490,148,69,206,177,5343,4469,83.6,447
vs Seattle,26,48.2,16,9569,1053,3052,4369,2751,390,8866,142,262,54.2,158,19,6231,31809,17169,675,236,53,197,154,7278,6402,88,525
vs Sporting KC,21,49.9,18,10968,1210,4243,5153,2165,375,10164,103,198,52,112,9,6916,32825,16848,578,166,55,220,182,8160,7245,88.8,582
vs Toronto FC,26,48.1,17,10179,990,3236,4616,2925,539,9463,135,261,51.7,150,20,6111,31526,16793,717,223,98,279,188,7217,6231,86.3,653
vs Vancouver,28,59.2,17,11812,1252,4354,5129,3048,464,11031,142,240,59.2,152,23,8229,37800,20371,731,233,70,182,196,9349,8481,90.7,653
,,,,,,,,,,,,,,,,,,,,,,,,,,,
